"ward_id","alderman_first_name","alderman_last_name","address","address_2","city","state","zip","phone","email","website"
1,"Daniel","La Spata","1958 North Milwaukee Avenue","","Chicago","IL","60647","872-206-2685","Ward01@cityofchicago.org","https://www.the1stward.com/"
2,"Brian","Hopkins","121 North LaSalle Street"," Room 300","Chicago","IL","60602","312- 744-6836","office@aldermanhopkins.com","https://www.aldermanhopkins.com/"
3,"Pat","Dowell","5046 South State Street","","Chicago","IL","60609","773- 373-9273","Ward03@cityofchicago.org","http://www.ward03chicago.com"
4,"Lamont","Robinson","928 East 43rd Street","","Chicago","IL","60653","312-744-2690","Ward04@cityofchicago.org",""
5,"Desmon","Yancy","2230 East 71st Street","","Chicago","IL","60649","312-744-6832","Ward05@cityofchicago.org",""
6,"William","Hall","8541 South State Street","","Chicago","IL","60619","773-241-3100","Ward06@cityofchicago.org",""
7,"Gregory","Mitchell","2249 East 95th Street","","Chicago","IL","60617","773-731-7777","Ward07@cityofchicago.org","http://www.gregmitchell7thward.org/"
8,"Michelle ","Harris","8539 South Cottage Grove Avenue","","Chicago","IL","60619","773-874-3300","Ward08@cityofchicago.org","http://www.Aldermanmichelleharris.net"
9,"Anthony","Beale","34 East 112th Place","","Chicago","IL","60628","773-785-1100","Ward09@cityofchicago.org","http://www.Ward09.com"
10,"Peter","Chico","10500 South Ewing Avenue","","Chicago","IL","60617","773-768-8138","Ward10@cityofchicago.org",""
11,"Nicole","Lee","3659 South Halsted Street","","Chicago","IL","60609","773-254-6677","Ward11@cityofchicago.org",""
12,"Julia","Ramirez","3868 South Archer Avenue","","Chicago","IL","60632","773-475-6783","Ward12@cityofchicago.org",""
13,"Marty","Quinn","6500 South Pulaski Road","","Chicago","IL","60629","773-581-8000","Ward13@cityofchicago.org",""
14,"Jeylu","Gutierrez","3124 West 59th Street","","Chicago","IL","60629","773-236-0117","Ward14@cityofchicago.org",""
15,"Raymond","Lopez","2650 West 51st Street","","Chicago","IL","60632","773-823-1539","Ward15@cityofchicago.org","http://www.the15thward.org"
16,"Stephanie","Coleman","1137 West 63rd Street","Unit C","Chicago","IL","60621","773-306-1981","Ward16@cityofchicago.org","https://www.16thward.org"
17,"David","Moore","1344 West 79th Street","","Chicago","IL","60620","773-783-3672","Ward17@cityofchicago.org","http://www.David.Moore@cityofchicago.org"
18,"Derrick","Curtis","8359 South Pulaski Road","","Chicago","IL","60652","773-284-5057","Ward18@cityofchicago.org",""
19," Matthew ","O'Shea","10400 South Western Avenue","","Chicago","IL","60643","773-238-8766","Ward19@cityofchicago.org","http://the19thward.com/"
20,"Jeanette","Taylor","5401 South Wentworth Avenue"," Suite 19E","Chicago","IL","60621","773-966-5336","Ward20@cityofchicago.org",""
21,"Ronnie ","Mosley","10805 South Halsted Street","","Chicago","IL","60628","773-881-9300","Ward21@cityofchicago.org",""
22,"Michael","Rodriguez","2500 South St. Louis Avenue","","Chicago","IL","60623","773-762-1771","Ward22@cityofchicago.org",""
23,"Silvana","Tabares","6247 South Archer Avenue","","Chicago","IL","60638","773-582-4444","Ward23@cityofchicago.org",""
24,"Monique","Scott","1158 South Keeler Street","","Chicago","IL","60624","773-533-2400","ward24@cityofchicago.org",""
25,"Byron","Sigcho-Lopez","2100 West Cermak Road","","Chicago","IL","60608","773-523-4100","Ward25@cityofchicago.org","https://www.25thward.org"
26,"Jessica","Fuentes","2511 West Division Street","","Chicago","IL","60602","773-395-0143","Ward26@cityofchicago.org",""
27,"Walter","Burnett","4 North Western Avenue","Unit 1C","Chicago","IL","60618","312-432-1995","Ward27@cityofchicago.org","http://aldermanburnett.com/"
28,"Jason","Ervin","2622 West Jackson Boulevard","Suite 200A","Chicago","IL","60612","773-533-0900","Ward28@cityofchicago.org","http://www.AldermanErvin.com/"
29,"Chris","Taliaferro","6272 West North Avenue","","Chicago","IL","60639","773-237-6460","Ward29@cityofchicago.org","http://www.aldtaliaferro.com"
30,"Ruth","Cruz","5418 W. Belmont Ave","","Chicago","IL","60641","773-628-7874","Ward30@cityofchicago.org",""
31,"Felix","Cardona Jr","4606 West Diversey Avenue","","Chicago","IL","60639","773-824-2000","Ward31@cityofchicago.org",""
32,"Scott","Waguespack","2657 North Clybourn Avenue","","Chicago","IL","60614","773-248-1330","Ward32@cityofchicago.org","http://www.ward32.org"
33,"Rossana","Rodriguez ","4747 North Sawyer Avenue","","Chicago","IL","60625","773-840-7880","Ward33@cityofchicago.org",""
34,"William","Conway","121 North LaSalle Street","Room 300","Chicago","IL","60602","312-744-6820","Ward34@cityofchicago.org",""
35,"Anthony J.","Quezada","2934 North Milwaukee Avenue","Unit C","Chicago","IL","60618","773-887-3772","ward35@cityofchicago.org",""
36,"Gilbert","Villegas","6560 West Fullerton Avenue","Unit C118","Chicago","IL","60707","773-745-4636","Ward36@cityofchicago.org","http://www.36thward.org"
37,"Emma","Mitts","4924 West Chicago Avenue","","Chicago","IL","60651","773-379-0960","Ward37@cityofchicago.org","https://www.cityofchicago.org/city/en/about/wards/37.html"
38,"Nicholas","Sposato","3821 North Harlem Avenue","","Chicago","IL","60634","773-283-3838","Ward38@cityofchicago.org","http://aldermansposato.com/"
39,"Samantha","Nugent","4200 West Lawrence Avenue","","Chicago","IL","60630","773-736-5594","Ward39@cityofchicago.org","http://www.ward39@cityofchicago.org"
40,"Andre","Vasquez Jr","5620 North Western Avenue","","Chicago","IL","60659","773-654-1867","Ward40@cityofchicago.org","http://www.40thward.org"
41,"Anthony","Napolitano","7231 West Touhy Avenue","","Chicago","IL","60631","773-631-2241","Ward41@cityofchicago.org","http://www.chicago41.com"
