weather_date,temp_avg,temp_max,temp_min,precipitation,snowfall,snow_depth
1/1/25,31,34,24,0,0,0
1/2/25,27,32,24,0.01,0.1,0
1/3/25,24,25,18,0,0.2,0
1/4/25,18,25,12,0,0,0
1/5/25,18,22,15,0,0,0
1/6/25,24,30,21,0.01,0.1,0
1/7/25,22,26,15,0,0,0
1/8/25,20,26,14,0,0,0
1/9/25,20,29,14,0,0,0
1/10/25,25,30,21,0.13,2.2,0
1/11/25,28,32,26,0,0,2
1/12/25,30,35,19,0.03,0.3,1
1/13/25,17,19,9,0,0,1
1/14/25,14,16,8,0.01,0.7,1
1/15/25,11,19,5,0,0.1,1
1/16/25,26,38,18,0.01,0.2,1
1/17/25,35,47,26,0,0,0
1/18/25,34,40,14,0,0,0
1/19/25,12,14,1,0,0,0
1/20/25,4,11,-2,0,0,0
1/21/25,-1,2,-8,0,0,0
1/22/25,8,25,0,0.02,0.4,0
1/23/25,20,24,7,0.01,0.3,1
1/24/25,11,23,2,0,0,0
1/25/25,27,41,21,0,0,0
1/26/25,26,31,17,0,0,0
1/27/25,27,44,18,0,0,0
1/28/25,38,48,28,0,0,0
1/29/25,42,47,33,0,0,0
1/30/25,38,50,26,0.51,0,0
1/31/25,39,40,33,1.24,0,0
2/1/25,32,33,29,0,0,0
2/2/25,36,43,31,0,0,0
2/3/25,40,42,33,0,0,0
2/4/25,29,33,22,0,0,0
2/5/25,26,31,24,0.05,0,0
2/6/25,31,37,27,0,0,0
2/7/25,26,32,19,0,0,0
2/8/25,30,33,27,0.01,0.1,0
2/9/25,28,32,22,0,0,0
2/10/25,25,37,17,0,0,0
2/11/25,25,28,21,0,0.1,0
2/12/25,24,29,19,0.18,2.8,0
2/13/25,20,26,5,0,0.1,3.1
2/14/25,12,26,3,0.15,1.8,2
2/15/25,29,33,26,0.02,0,3.1
2/16/25,27,27,9,0,0,3.1
2/17/25,8,9,0,0,0,3.1
2/18/25,3,14,-5,0,0,3.1
